,utterance_id,turn_id,chat_id,datetime,user_utterance,valence,label,sublabel,bot_action,bot_datetime,bot_utterance,user_rating,user_rating_explanation,valence_new,label_new,sublabel_new,user_utterance_english,bot_utterance_english,Contained technical issue
637,638,11,55.0,2023-08-08 14:05:24.764225,Ich glaube nicht. Deine Tipps?,Follow/Neutral,,,Next Steps,2023-08-08 14:05:26.67031,Verstanden! Bitte verrate mir abschließend nochmal was dein nächster Schritt konkret sein wird.,gut/hilfreich,Akut keine Tipps bekommen,Follow/Neutral,,,I don't think so.,Please tell me again what your next step will be concrete.,0.0
638,639,12,55.0,2023-08-08 14:06:12.712144,Eine To-Do Liste für die Woche und die nächsten Tage erstellen,Follow/Neutral,,,Goodbye,2023-08-08 14:06:14.527748,"Vielen Dank für deine Offenheit in unserem Gespräch. 
                            Ich hoffe es hat dir dabei geholfen, deinem Ziel zumindest gedanklich etwas näher zu kommen.",,,Follow/Neutral,,,Create a to-do list for the week and the next days,Thank you for your openness in our conversation. I hope it helped you at least to get a little closer to your goal.,0.0
639,640,1,56.0,2023-08-08 14:11:34.22044,start,Follow/Neutral,,,,2023-08-08 14:11:36.161597,"Hallo! Ich bin MIcha, dein Motivations-Chatbot. 
                            Mein Ziel ist es, dir dabei zu helfen, dein Verhalten zu reflektieren und dich dabei zu unterstützen dir einen Plan für deine Verhaltensänderung zu erarbeiten. 
                            Bitte denke über meine Fragen genau nach und sieh sie vorwiegend als Gedankenanstöße, die dich mental näher an dein Ziel bringen. 
                            Ich bin nicht dafür da, dir Tipps oder Handlungsempfehlungen zu geben, sondern dafür, dir über deine Beweggründe und Werte klar zu werden. 
                                
                            Über welche Verhaltensänderung möchtest du heute sprechen?",,,Follow/Neutral,,,Start,"Hi! I'm MIcha, your motivational chatbot. My goal is to help you reflect on your behavior and help you develop a plan for your behavioral change. Please think carefully about my questions and see them primarily as thought impulses that bring you mentally closer to your goal. I'm not here to give you tips or recommendations for action, but to get clear about your motives and values. What behavioral change do you want to talk about today?",0.0
640,641,2,56.0,2023-08-08 14:12:18.858948,Ich möchte weniger prokrastinieren,change,Reason,desire,,2023-08-08 14:12:20.609553,"Du möchtest also weniger prokrastinieren. Kannst du mir etwas darüber erzählen, warum dir diese Veränderung wichtig ist?",,,change,Reason,desire,I want to procrastinate less,So you want to procrastinate less. Can you tell me something about why this change is important to you?,0.0
641,642,3,56.0,2023-08-08 14:13:14.13777,"Ich habe ein schlechtes Gewissen, weil ich mich nicht genügend auf meine Arbeit konzentrieren kann. Ich schweife immer wieder ab und erledige stattdessen andere Dinge, da ich im Homeoffice arbeite. Das macht mir ein schlechtes Gewissen.",sustain,Reason,General Reason,,2023-08-08 14:13:28.768319,Wie wichtig ist dir diese Veränderung auf einer Skala von 0 (überhaupt nicht) bis 10 (sehr),,,sustain,Reason,General Reason,"I have a bad conscience because I can't concentrate enough on my work. I keep drifting away and doing other things instead, because I work in the home office. That makes me feel bad.",How important is this change on a scale from 0 (not at all) to 10 (very),0.0
642,643,4,56.0,2023-08-08 14:13:40.423883,8,Follow/Neutral,,,,2023-08-08 14:13:42.357367,Eine 8. Du stehst dieser Veränderung also insgesamt positiv gegenüber. Kannst du mir etwas mehr über diese Einschätzung sagen? Warum hast du keinen höheren oder niedrigeren Wert angegeben?,,,Follow/Neutral,,,8,An 8. So you're positive about this change overall. Can you tell me a little more about this assessment? Why didn't you give a higher or lower value?,0.0
643,644,5,56.0,2023-08-08 14:14:54.790898,"Ich habe keine niedrigeren Wert eingegeben, weil mir die Sache sehr wichtig ist. Allerdings ist es nicht so, dass ich gar keine Arbeit erledigt bekomme. Daher habe ich auch keinen höheren Wert angegeben.",Follow/Neutral,,,Reframe,2023-08-08 14:15:08.592008,"Du erkennst also an, dass du trotz deiner Tendenz zur Prokrastination in der Lage bist, Arbeit zu erledigen. Es ist dir wichtig, dich auf deine Arbeit zu konzentrieren, und du bist bereit, daran zu arbeiten, deine Fähigkeit dazu zu verbessern.",gut/hilfreich,"Die Antwort ist nicht schlecht und auch nicht beleidigend. Daher habe ich ""gut"" ausgewählt. Hilfreich ist sie allerdings nicht, sondern eher eine Zusammenfassung.",Follow/Neutral,,,"I didn't enter a lower value because it's very important to me. However, it's not that I don't get a job done at all, so I didn't specify a higher value.","So you acknowledge that, despite your tendency to procrastination, you are able to do work. It's important to focus on your work and you're ready to work on it, to improve your ability to do it.",0.0
644,645,1,57.0,2023-08-08 14:15:33.821169,start,Follow/Neutral,,,,2023-08-08 14:15:36.006068,"Hallo! Ich bin MIcha, dein Motivations-Chatbot. 
                            Mein Ziel ist es, dir dabei zu helfen, dein Verhalten zu reflektieren und dich dabei zu unterstützen dir einen Plan für deine Verhaltensänderung zu erarbeiten. 
                            Bitte denke über meine Fragen genau nach und sieh sie vorwiegend als Gedankenanstöße, die dich mental näher an dein Ziel bringen. 
                            Ich bin nicht dafür da, dir Tipps oder Handlungsempfehlungen zu geben, sondern dafür, dir über deine Beweggründe und Werte klar zu werden. 
                                
                            Über welche Verhaltensänderung möchtest du heute sprechen?",,,Follow/Neutral,,,Start,"Hi! I'm MIcha, your motivational chatbot. My goal is to help you reflect on your behavior and help you develop a plan for your behavioral change. Please think carefully about my questions and see them primarily as thought impulses that bring you mentally closer to your goal. I'm not here to give you tips or recommendations for action, but to get clear about your motives and values. What behavioral change do you want to talk about today?",0.0
645,646,2,57.0,2023-08-08 14:16:04.745941,Ich möchte weniger prokrastinieren,change,Reason,desire,,2023-08-08 14:16:06.989548,"Du möchtest also weniger prokrastinieren. Kannst du mir etwas darüber erzählen, warum dir diese Veränderung wichtig ist?",,,change,Reason,desire,I want to procrastinate less,So you want to procrastinate less. Can you tell me something about why this change is important to you?,0.0
646,647,6,56.0,2023-08-08 14:16:33.984647,"Ja, richtig",Follow/Neutral,,,Continuing the Paragraph,2023-08-08 14:16:52.909174,"Du bist dir also bewusst, dass es Zeiten gibt, in denen du fokussiert bist und produktiv arbeitest. Wie sieht es aus, wenn du dich in solchen Momenten befindest",gut/hilfreich,"Es ist ein guter Gedankenanstoß über die Zeiten nachzudenken, in denen ich produktiv bin",Follow/Neutral,,,"Yeah, right.",So you're aware that there are times when you're focused and productive.,0.0
647,648,3,57.0,2023-08-08 14:18:38.586634,"Zwar glaube ich, dass wir als Gesellschaft insgesamt viel zu produktiv sind, als der Erde und unserem Zusammenleben gut tun, habe ich das Vermuten, dass ich persönlich zu viele Dinge immer wieder aufschiebe, dir mir wirklich wichtig sind. Zum Beispiel einige Minuten Yoga am Tag, obwohl es meinen Rücken schmerzfrei halten würde. Oder den Aufbau eines Shops für meine Kunstpostkarten.",change,Reason,General Reason,,2023-08-08 14:18:42.886194,Wie bereit bist du auf einer Skala von 0 (überhaupt nicht) bis 10 (sehr) diese Veränderung durchzuführen?,,,change,Reason,General Reason,"While I believe that as a society as a whole, we are far too productive to do well as the earth and our living together, I have the presumption that I personally constantly postpone too many things, you are really important to me. For example, a few minutes of yoga a day, although it would hold my back painlessly. Or building a shop for my art postcards.",How ready are you to perform this change on a scale from 0 (not at all) to 10 (very)?,0.0
648,649,4,57.0,2023-08-08 14:19:00.181289,7,Follow/Neutral,,,,2023-08-08 14:19:02.387639,Eine 7. Du stehst dieser Veränderung also insgesamt positiv gegenüber. Kannst du mir etwas mehr über diese Einschätzung sagen? Warum hast du keinen höheren oder niedrigeren Wert angegeben?,,,Follow/Neutral,,,7,A 7. So you're positive about this change overall. Can you tell me a little more about this assessment? Why didn't you give a higher or lower value?,0.0
649,650,7,56.0,2023-08-08 14:19:07.934593,"In dieser Zeit ""zwinge"" ich mich, alle anderen Gedanken und Ablenkungen auszublenden und nur meine Arbeit zu erledigen. Ich lege mir dafür immer Zeiträume fest, z. B. eine halbe Stunde oder eine bestimmte Aufgabe. Allerdings lasse ich mich trotzdem manchmal ablenken, z. B. durch das Handy.",change,Taking Steps,,Reviewing Past Successes,2023-08-08 14:19:23.124974,"Du hast also bereits eine Strategie entwickelt, um dich auf deine Arbeit zu konzentrieren, indem du dir bestimmte Zeiträume festlegst und dich auf eine bestimmte Aufgabe konzentrierst. Welche andere Situationen fallen dir ein, in denen du erfolgreich darin warst, Ablenkungen zu vermeiden und dich auf deine Arbeit zu konzentrieren",gut/hilfreich,"Es stimmt, ich habe eine Strategie entwickelt. Und der Anstoß, mir weitere Gedanken zu machen, ist gut.",change,Taking Steps,,"During this time, I ""force"" myself to hide all other thoughts and distractions and just do my work. I always set myself periods of time for this, for example half an hour or a certain task. However, I still get distracted sometimes, e.g. by the mobile phone.",So you've already developed a strategy to focus on your work by setting specific time periods and focusing on a specific task. What other situations do you think of when you've been successful in avoiding distractions and focusing on your work?,0.0
650,651,8,56.0,2023-08-08 14:20:44.713745,"Wenn ich unter Zeitdruck arbeite, also einen Abgabetermin habe, arbeite ich konzentriert.",Follow/Neutral,,,Affirmation,2023-08-08 14:20:54.154901,"Du bist also in der Lage, unter Zeitdruck fokussiert und effizient zu arbeiten. Das zeigt, dass du über die Fähigkeit verfügst, dich auf deine Arbeit zu konzentrieren, wenn es darauf ankommt.",gut/hilfreich,"Ja, die Antwort stimmt",Follow/Neutral,,,"If I work under time pressure, so I have a deadline, I work concentrated.","So you're able to work focused and efficient under time pressure, which shows that you have the ability to focus on your work when it comes to it.",0.0
651,652,5,57.0,2023-08-08 14:20:53.238486,"Ich habe keinen niedrigeren Wert gegeben, weil ich Sehnsucht nach den Resultaten habe, die diese Veränderung mit sich bringen könnte. Ich habe keinen höheren Wert gegeben, weil ich insgesamt mit meinem Leben zufrieden bin. ",change,Reason,General Reason,,2023-08-08 14:21:09.185047,"Das ist eine sehr ausgewogene Sichtweise. Du hast ein klares Ziel vor Augen, bist aber auch zufrieden mit deinem aktuellen Zustand. Das ist eine gute Ausgangslage. Jetzt stell dir vor, du würdest deiner Sehnsucht folgen und diese Veränderung durchführen. Wie würde sich dein Leben verbessern",gut/hilfreich,"Ich finde die Antwort gut, weil sie mich in Kontakt bringt mit der Motivation hinter der Veraltensänderung.",change,Reason,General Reason,I have not given a lower value because I have a longing for the results that this change could bring. I have not given a higher value because I am generally satisfied with my life.,"This is a very balanced view. You have a clear goal in mind, but you are also satisfied with your current state. This is a good starting point. Now imagine that you would follow your longing and carry out this change. How would your life improve?",0.0
652,653,9,56.0,2023-08-08 14:21:45.476809,"Ja, das ist richtig",Follow/Neutral,,,Looking Back,2023-08-08 14:22:06.143573,"Es ist also möglich, dass du diese Fähigkeit auch in anderen Situationen einsetzen kannst, um deine Tendenz zur Prokrastination zu reduzieren. Welche Unterschiede gibt es zwischen den Situationen, in denen du dich auf deine Arbeit konzentrieren kannst, und den Situationen, in denen du dazu neigst, zu prokrastinieren",gut/hilfreich,,Follow/Neutral,,,"Yes, that's right.",So it's possible that you can use this ability in other situations to reduce your tendency to procrastination. What are the differences between the situations in which you can focus on your work and the situations in which you tend to procrastinate?,0.0
653,654,10,56.0,2023-08-08 14:23:45.536766,"Ich neige dazu, zu prokrastinieren, wenn ich auf eine Sache keine Lust habe oder sie mir schwer fällt, also mit zu viel Anstrengung verbunden ist.",sustain,Reason,General Reason,Summary,2023-08-08 14:23:54.592041,"Lass mich unser bisheriges Gespräch zusammenfassen. Du hast festgestellt, dass du dazu neigst, zu prokrastinieren, wenn du dich mit einer Aufgabe befasst, die dir schwerfällt oder bei der du wenig Interesse hast. Diese Erkenntnisse könnten dir dabei helfen, Strategien zu entwickeln, um in solchen Situationen weniger zu prokrastinieren. Habe ich noch etwas vergessen?",gut/hilfreich,Nein,sustain,Reason,General Reason,"I tend to procrastinate if I don't feel like a thing or if it's hard for me, so it's too much effort.",Let me sum up our conversation so far. You have found that you tend to procrastinate if you deal with a task that is difficult for you or that you have little interest in. These findings could help you to develop strategies to procrastinate less in such situations. Have I forgotten anything yet?,0.0
654,655,11,56.0,2023-08-08 14:25:00.431161,Nein,Follow/Neutral,,,Next Steps,2023-08-08 14:25:02.472345,Verstanden! Bitte verrate mir abschließend nochmal was dein nächster Schritt konkret sein wird.,gut/hilfreich,Ich muss über einen konkreten Schritt nachdenken,Follow/Neutral,,,Yes,Please tell me again what your next step will be concrete.,0.0
655,656,6,57.0,2023-08-08 14:25:59.132487,"Wenn ich Yoga machen würde, würde ich mich wohler in meinem Körper fühlen, dass weiß ich aus Erfahrung. Den Versuch, meine Bilder zu verkaufen, sehe ich als einen Akt der Wertschätzung mir selber gegenüber an, wenn ich tatsächlich welche verkaufen würde, gäbe mir das zudem Anerkennung von außen und eine kleine Nebeneinkunft.",Follow/Neutral,,,,2023-08-08 14:26:10.253228,"Das klingt nach sehr positiven Veränderungen. Die körperliche Wohlbefinden durch Yoga und die Anerkennung und Wertschätzung durch den Verkauf deiner Bilder sind großartige Ziele. Was sind die größten Hindernisse, die dich bisher davon abhalten, diese Veränderungen durchzuführen",gut/hilfreich,Es gibt (wie ürbigens bei der letzten Antwort schon) (positives) Feedback auf das von mir Gesagte und danach einen logiscen Ansatzpunkt.,Follow/Neutral,,,"If I were to do yoga, I would feel more comfortable in my body, that I know from experience. I see the attempt to sell my pictures as an act of appreciation to myself, if I actually were to sell some, that would also give me recognition from the outside and a small secondary income.",This sounds like very positive changes. Physical well-being through yoga and appreciation and appreciation by selling your pictures are great goals. What are the biggest obstacles that have prevented you from carrying out these changes so far?,0.0
656,657,12,56.0,2023-08-08 14:26:13.183369,"Ich werde mir für meine Aufgaben konkrete Zeitfenster festlegen, bei denen ich weiß, dass ich mich so lange tatsächlich konzentrieren kann",change,Commitment,,Goodbye,2023-08-08 14:26:15.27383,"Vielen Dank für deine Offenheit in unserem Gespräch. 
                            Ich hoffe es hat dir dabei geholfen, deinem Ziel zumindest gedanklich etwas näher zu kommen.",,,change,Commitment,,"I will set specific time frames for my tasks, where I know that I can actually concentrate for so long",Thank you for your openness in our conversation. I hope it helped you at least to get a little closer to your goal.,0.0
657,658,7,57.0,2023-08-08 14:31:19.324729,"Ich habe große Schwierigkeiten mit drei Dingen: Aktivation. Mir schwirrt ständig der Gedanke durch den Kopf, dass ich was besseres zu tun habe als 10 Minuten Yoga (was nicht stimmt) und ich sehe es auch oft als eine Anstrengung, die ich unternehmen muss, dabei fühlen sich die Übungen sehr gut an, wenn ich sie ausführe und ist es eher ein ankommen im Körper. Bei den Postkarten ist es so, dass ich zum Aufbau des Shops auch viele Langweilige Aufgaben erledigen muss und meine Toleranz gegen Langeweile sehr niedrig ist. Zudem fühle ich mich von der Größe der Aufgabe überfordert.",change,Reason,General Reason,,2023-08-08 14:31:29.743141,"Das sind sehr ehrliche und aufschlussreiche Einblicke. Vielen Dank, dass du sie mit mir geteilt hast. 

Es scheint, als ob du auf der einen Seite eine starke Motivation hast, diese Änderungen vorzunehmen, aber auf der anderen Seite fühlst du dich durch das Gefühl der Überforderung und die Abneigung gegen Langeweile zurückgehalten. 

Es könnte hilfreich sein,",schlecht/unpassend,"Die Antwort bricht ab nach ""Es könnte hilfreich sein,"" - Wie frustrierend ist das denn?",change,Reason,General Reason,"I have great difficulties with three things: Activation. I keep thinking that I have something better to do than 10 minutes of yoga (which is not true) and I often see it as an effort that I have to do, but the exercises feel very good when I do them and it's more like arriving in the body. With postcards, I also have to do many boring tasks to build up the shop and my tolerance for boredom is very low. I also feel overwhelmed by the size of the task.","These are very honest and insightful insights. Thank you very much for sharing them with me. It seems that you have a strong motivation on the one hand to make these changes, but on the other hand you feel restrained by the feeling of overload and aversion to boredom. It might be helpful to",0.0
658,659,1,58.0,2023-08-08 14:31:34.435234,start,Follow/Neutral,,,,2023-08-08 14:31:36.551591,"Hallo! Ich bin MIcha, dein Motivations-Chatbot. 
                            Mein Ziel ist es, dir dabei zu helfen, dein Verhalten zu reflektieren und dich dabei zu unterstützen dir einen Plan für deine Verhaltensänderung zu erarbeiten. 
                            Bitte denke über meine Fragen genau nach und sieh sie vorwiegend als Gedankenanstöße, die dich mental näher an dein Ziel bringen. 
                            Ich bin nicht dafür da, dir Tipps oder Handlungsempfehlungen zu geben, sondern dafür, dir über deine Beweggründe und Werte klar zu werden. 
                                
                            Über welche Verhaltensänderung möchtest du heute sprechen?",,,Follow/Neutral,,,Start,"Hi! I'm MIcha, your motivational chatbot. My goal is to help you reflect on your behavior and help you develop a plan for your behavioral change. Please think carefully about my questions and see them primarily as thought impulses that bring you mentally closer to your goal. I'm not here to give you tips or recommendations for action, but to get clear about your motives and values. What behavioral change do you want to talk about today?",0.0
659,660,2,58.0,2023-08-08 14:32:10.646366,Ich möchte weniger prokrastinieren,change,Reason,desire,,2023-08-08 14:32:12.613304,"Du möchtest also weniger prokrastinieren. Kannst du mir etwas darüber erzählen, warum dir diese Veränderung wichtig ist?",,,change,Reason,desire,I want to procrastinate less,So you want to procrastinate less. Can you tell me something about why this change is important to you?,0.0
660,661,8,57.0,2023-08-08 14:33:17.487019,"deine Antwort bricht ab nach ""Es könnte hilfreich sein,"" - wie geht sie weiter?",Follow/Neutral,,,,2023-08-08 14:33:28.653736,"Entschuldigung für den abgebrochenen Text. Hier die Fortsetzung: 

Es könnte hilfreich sein, die Aufgaben in kleinere, handhabbare Teile zu zerlegen. So könnten sie weniger überwältigend erscheinen und leichter zu bewältigen sein. Bei der täglichen Yoga-Routine könntest du beispielsweise mit nur 5 Minuten am Tag beginnen und dann schrittweise steigern,",schlecht/unpassend,"1) Die Antwort bricht wieder ab 2) Der Tipp die Aufgaben zur zerlegen ist altbekannt, wenn mir das Wissen ums zerlegen helfen würde, hätte ich keine Probleme mehr. In der Praxis schiebe ich aber fleissig weiter vor mir her.",Follow/Neutral,,,"your answer cancels after ""It could be helpful,"" - how does it go on?","Sorry for the broken text. Here's the sequel: It might be helpful to break the tasks into smaller, manageable parts, so they might seem less overwhelming and easier to handle. For example, with the daily yoga routine, you could start with just 5 minutes a day and then gradually increase,",0.0
661,662,3,58.0,2023-08-08 14:33:36.399157,"Ich zögere Abgaben in der Uni immer sehr heraus, sodass ich dann auf den letzten Drücker panisch noch viel machen muss, teilweise dann tagelang durcharbeiten, um Hausarbeiten fertig zu bekommen und dadurch geht es mir dann jedes Mal schlecht. Trotzdem fällt es mir schwer, mein Verhalten zu ändern, da ich bisher doch immer die Abgaben geschafft habe.",sustain,Reason,ability,,2023-08-08 14:33:40.155304,Wie wichtig ist dir diese Veränderung auf einer Skala von 0 (überhaupt nicht) bis 10 (sehr),,,sustain,Reason,ability,"I always delay fees in the university very much, so that I then have to do a lot panicically on the last pusher, sometimes then work through for days to get homework done and that makes me feel bad every time. Nevertheless, it is difficult for me to change my behavior, since I have always managed the fees so far.",How important is this change on a scale from 0 (not at all) to 10 (very),0.0
662,663,4,58.0,2023-08-08 14:33:53.777155,7,Follow/Neutral,,,,2023-08-08 14:33:55.56585,Eine 7. Du stehst dieser Veränderung also insgesamt positiv gegenüber. Kannst du mir etwas mehr über diese Einschätzung sagen? Warum hast du keinen höheren oder niedrigeren Wert angegeben?,,,Follow/Neutral,,,7,A 7. So you're positive about this change overall. Can you tell me a little more about this assessment? Why didn't you give a higher or lower value?,0.0
663,664,5,58.0,2023-08-08 14:35:49.573418,"Ich halte es für wichtig, da ich gern weniger Stress in meinem Leben hätte und das Prokrastinieren verursacht mir häufig Stress. Gleichzeitig habe ich aber auch nicht viel Zeit und Kapazitäten, um irgendwelche Übungen zur Änderung des Verhaltens durchzuführen. Und ich habe bisher ja auch irgendwie immer alles geschafft. Verbunden mit viel Stress zwar, aber doch geschafft.",change,Reason,ability,Digging Deep,2023-08-08 14:35:58.619427,"Es scheint, als seist du dir bewusst, dass das Prokrastinieren Stress in deinem Leben verursacht, du aber dennoch Bedenken hast, ob du genügend Ressourcen hast, um dein Verhalten zu ändern. Du hast auch anerkannt, dass du trotz des Stresses immer alles geschafft hast. Welche Gedanken kommen dir dazu",schlecht/unpassend,Es ist nur eine Wiederholung des bereits von mir Gesagtem.,change,Reason,ability,"I think it's important because I would like to have less stress in my life and procrastination often causes me stress. At the same time, however, I don't have much time and capacity to do any exercises to change my behavior. And I've always done everything in my life.","It seems as if you are aware that procrastinating causes stress in your life, but you still have concerns about whether you have enough resources to change your behavior. You have also acknowledged that despite the stress you have always done everything.",0.0
664,665,9,57.0,2023-08-08 14:36:13.817818,"1) Deine Antwort brach wieder ab 2)  Der Tipp die Aufgaben zur zerlegen ist altbekannt, wenn mir das Wissen ums zerlegen helfen würde, hätte ich keine Probleme mehr. In der Praxis schiebe ich aber fleissig weiter vor mir her.",change,Reason,General Reason,,2023-08-08 14:36:27.730671,"Entschuldigung für den abgebrochenen Text. Du hast recht, das Aufteilen von Aufgaben ist ein weit verbreiteter Ratschlag und funktioniert nicht für jede Person.

Lass uns einen anderen Ansatz versuchen. Wie wäre es, wenn du dir für jede der Aufgaben einen festen Zeitpunkt am Tag einplanst, zu dem du sie erledigst",schlecht/unpassend,,change,Reason,General Reason,"1) Your answer broke off again 2) The tip to disassemble the tasks is well known, if the knowledge about disassembly would help me, I would no longer have any problems. In practice, however, I push ahead diligently.","Sorry for the aborted text. You're right, sharing tasks is a common piece of advice and doesn't work for every person. Let's try a different approach. How about you schedule a fixed time for each of the tasks on the day you do it?",0.0
665,666,10,57.0,2023-08-08 14:37:35.041823,das klingt schrecklich. ,Follow/Neutral,,,Summary,2023-08-08 14:37:59.413158,"Lass mich unser bisheriges Gespräch zusammenfassen. Du hast klar zum Ausdruck gebracht, dass du Schwierigkeiten hast, dich zu bestimmten Aufgaben zu aktivieren, insbesondere wenn sie dir langweilig erscheinen oder du dich von der Größe der Aufgabe überfordert fühlst. Du hast auch erwähnt, dass du dich oft von dem Gedanken ablenken lässt, dass du ""etwas Besseres zu tun hast"", obwohl du weißt, dass dies nicht der Fall ist. Trotzdem hast du eine starke Sehnsucht nach den Ergebnissen, die diese Veränderungen mit sich bringen könnten. Du weißt, dass Yoga dir gut tut und du möchtest deine Kunstpostkarten verkaufen, um Anerkennung von außen zu erhalten und ein kleines Nebeneinkommen zu erzielen. Du bist motiviert, diese Änderungen vorzunehmen, aber du fühlst dich von Habe ich noch etwas vergessen?",schlecht/unpassend,bricht wieder ab nach aber du fühlst dich,Follow/Neutral,,,That sounds terrible.,"Let me sum up our conversation so far. You have clearly stated that you have difficulty activating yourself to certain tasks, especially if it seems boring to you or if you feel overwhelmed by the size of the task. You have also mentioned that you often let yourself be distracted by the thought that you ""have something better to do"" although you know that this is not the case. Nevertheless, you have a strong longing for the results that these changes could bring with you. You know that yoga is doing you good and you want to sell your art postcards to gain recognition from the outside and a small side income. You are motivated to make these changes, but you feel like I've forgotten something yet?",0.0
666,667,6,58.0,2023-08-08 14:37:49.972134,"Dazu kommen mir nicht viele Gedanken, sonst könnte ich das Problemverhalten ja selbst regulieren.",change,Reason,General Reason,Affirmation,2023-08-08 14:37:57.345296,"Du erkennst, dass dein momentanes Verhalten nicht ideal ist und du bist bereit, daran zu arbeiten. Das ist eine wichtige Voraussetzung für Veränderung. Was könntest du tun, um weniger zu prokrastinieren",gut/hilfreich,,change,Reason,General Reason,"I don't have many thoughts about that, otherwise I could regulate the problem behavior myself.",You realize that your current behavior isn't ideal and you're willing to work on it. That's an important prerequisite for change. What could you do to procrastinate less?,0.0
667,668,7,58.0,2023-08-08 14:39:12.507578,"Mir vielleicht klare Zeiträume setzen, in denen ich mich auf eine Aufgabe konzentriere, da ich besonders Probleme mit Ablenkungen habe.",Follow/Neutral,,,Elaboration,2023-08-08 14:39:23.130525,"Es scheint, dass du denkst, dass das Setzen klarer Zeiträume für die Konzentration auf eine Aufgabe ein möglicher Weg sein könnte, um weniger zu prokrastinieren. Wie wäre es, wenn du diesen Ansatz ausprobierst",schlecht/unpassend,Wieder nur eine Wiederholung des von mir bereits Gesagtem.,Follow/Neutral,,,"Perhaps set clear periods of time in which I concentrate on a task, since I have particular problems with distractions.",It seems that you think setting clear periods of time for focusing on a task could be a possible way to procrastinate less. How about you try this approach?,0.0
668,669,11,57.0,2023-08-08 14:39:41.212055,du hast diesen satz nicht zuende gebracht: aber du fühlst dich von,Follow/Neutral,,,Next Steps,2023-08-08 14:39:44.426931,Verstanden! Bitte verrate mir abschließend nochmal was dein nächster Schritt konkret sein wird.,schlecht/unpassend,,Follow/Neutral,,,you have not finished this sentence: but you feel of,Please tell me again what your next step will be concrete.,0.0
669,670,12,57.0,2023-08-08 14:40:35.514848,"keine ahnung, du bringst ja nie einen gedanken zuende, wenn es drauf ankommt.",Follow/Neutral,,,Goodbye,2023-08-08 14:40:38.338432,"Vielen Dank für deine Offenheit in unserem Gespräch. 
                            Ich hoffe es hat dir dabei geholfen, deinem Ziel zumindest gedanklich etwas näher zu kommen.",,,Follow/Neutral,,,"I don't know, you never finish a thought when it comes to it.",Thank you for your openness in our conversation. I hope it helped you at least to get a little closer to your goal.,0.0
670,671,8,58.0,2023-08-08 14:40:35.618649,"Das habe ich bereits probiert, aber trotzdem lasse ich mich einfach schnell ablenken und erachte dann alles andere als wichtiger.",change,Taking Steps,,Affirmation,2023-08-08 14:40:45.209415,"Du hast bereits den ersten Schritt gemacht, indem du versucht hast, klare Zeiträume zu setzen. Dies zeigt, dass du gewillt bist, dein Verhalten zu ändern und du bist dir bewusst, dass Ablenkungen ein Hindernis für dich sind.",schlecht/unpassend,"Wieder eine Wiederholung von dem, was ich gesagt habe.",change,Taking Steps,,"I've already tried that, but still I'm just getting distracted quickly and then consider everything else to be more important.",You have already taken the first step by trying to set clear time periods. This shows that you are willing to change your behavior and you are aware that distractions are an obstacle to you.,0.0
671,672,9,58.0,2023-08-08 14:41:31.495308,ja,Follow/Neutral,,,Looking Forward,2023-08-08 14:41:38.839541,"Stelle dir vor, es ist ein Jahr vergangen und du hast es geschafft, weniger zu prokrastinieren. Wie hat sich dein Leben verändert",gut/hilfreich,,Follow/Neutral,,,"yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes.",Imagine it's been a year and you've managed to procrastinate less. How has your life changed?,0.0
672,673,10,58.0,2023-08-08 14:42:31.55113,"Ich hätte deutlich weniger Stress und ein besseres Gefühl von Selbstwirksamkeit,",Follow/Neutral,,,Summary,2023-08-08 14:42:42.051292,"Lass mich unser bisheriges Gespräch zusammenfassen. Du hast das Gefühl, dass eine erfolgreiche Veränderung deines Verhaltens zu weniger Stress und einem stärkeren Gefühl von Selbstwirksamkeit führen würde. Es scheint, dass diese Veränderung für dich sehr bedeutsam wäre. Habe ich noch etwas vergessen?",gut/hilfreich,Für eine Zusammenfassung ist die Antwort gut.,Follow/Neutral,,,"I would have much less stress and a better sense of self-efficacy,",Let me sum up our conversation so far. You have the feeling that a successful change in your behavior would lead to less stress and a stronger sense of self-efficacy. It seems that this change would be very important to you. Have I forgotten something yet?,0.0
673,674,11,58.0,2023-08-08 14:43:40.466349,"Nein, das stimmt so.",Follow/Neutral,,,Next Steps,2023-08-08 14:43:42.323784,Verstanden! Bitte verrate mir abschließend nochmal was dein nächster Schritt konkret sein wird.,gut/hilfreich,"Die Antwort ist gut, weil ich dazu bewegt werde, über konkrete nächste Schritte nachzudenken, um das Verhalten anzupassen.",Follow/Neutral,,,"No, it's true.",Please tell me again what your next step will be concrete.,0.0
